R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Lerone Murphy;Douglas Silva de Andrade;Lerone Murphy;Decision - Unanimous;1.0
Su Mudaerji;Zarrukh Adashev;Su Mudaerji;Decision - Unanimous;1.0
Francisco Figueiredo;Jerome Rivera;Francisco Figueiredo;Decision - Unanimous;1.0
Mike Davis;Mason Jones;Mike Davis;Decision - Unanimous;1.0
Dalcha Lungiambula;Markus Perez;Dalcha Lungiambula;Decision - Unanimous;1.0
Umar Nurmagomedov;Sergey Morozov;Umar Nurmagomedov;Submission;0.5
Victoria Leonardo;Manon Fiorot;Manon Fiorot;KO/TKO;0.5
Wu Yanan;Joselyne Edwards;Joselyne Edwards;Decision - Unanimous;1.0
Punahele Soriano;Dusko Todorovic;Punahele Soriano;KO/TKO;0.5
Carlos Felipe;Justin Tafa;Carlos Felipe;Decision - Split;1.0
Carlos Condit;Matt Brown;Carlos Condit;Decision - Unanimous;1.0
David Zawada;Ramazan Emeev;Ramazan Emeev;Decision - Split;1.0
Joaquin Buckley;Alessio Di Chirico;Alessio Di Chirico;KO/TKO;0.5
Santiago Ponzinibbio;Li Jingliang;Li Jingliang;KO/TKO;0.5
Max Holloway;Calvin Kattar;Max Holloway;Decision - Unanimous;1.0
Sarah Moras;Vanessa Melo;Vanessa Melo;Decision - Unanimous;1.0
Jacob Kilburn;Austin Lingo;Austin Lingo;Decision - Unanimous;1.0
Marlon Moraes;Rob Font;Rob Font;KO/TKO;0.5
Sijara Eubanks;Pannie Kianzad;Pannie Kianzad;Decision - Unanimous;1.0
Deron Winn;Antonio Arroyo;Deron Winn;Decision - Unanimous;1.0
Stephen Thompson;Geoff Neal;Stephen Thompson;Decision - Unanimous;1.0
Jose Aldo;Marlon Vera;Jose Aldo;Decision - Unanimous;1.0
Anthony Pettis;Alex Morono;Anthony Pettis;Decision - Unanimous;1.0
Marcin Tybura;Greg Hardy;Marcin Tybura;KO/TKO;0.5
Michel Pereira;Khaos Williams;Michel Pereira;Decision - Unanimous;1.0
Gillian Robertson;Taila Santos;Taila Santos;Decision - Unanimous;1.0
Jimmy Flick;Cody Durden;Jimmy Flick;Submission;0.5
Tafon Nchukwi;Jamie Pickett;Tafon Nchukwi;Decision - Unanimous;1.0
Christos Giagos;Carlton Minus;Christos Giagos;Decision - Unanimous;1.0
Renato Moicano;Rafael Fiziev;Rafael Fiziev;KO/TKO;0.5
Kevin Holland;Jacare Souza;Kevin Holland;KO/TKO;0.5
Mackenzie Dern;Virna Jandiroba;Mackenzie Dern;Decision - Unanimous;1.0
Tony Ferguson;Charles Oliveira;Charles Oliveira;Decision - Unanimous;1.0
Deiveson Figueiredo;Brandon Moreno;;Decision - Majority;1.0
Junior Dos Santos;Ciryl Gane;Ciryl Gane;KO/TKO;0.5
Gavin Tucker;Billy Quarantillo;Gavin Tucker;Decision - Unanimous;1.0
Cub Swanson;Daniel Pineda;Cub Swanson;KO/TKO;0.5
Tecia Torres;Sam Hughes;Tecia Torres;TKO - Doctor's Stoppage;0.5
Chase Hooper;Peter Barrett;Chase Hooper;Submission;0.5
Gabriel Benitez;Justin Jaynes;Gabriel Benitez;KO/TKO;0.5
Roman Dolidze;John Allan;Roman Dolidze;Decision - Split;1.0
Ilia Topuria;Damon Jackson;Ilia Topuria;KO/TKO;0.5
Louis Smolka;Jose Quinonez;Louis Smolka;KO/TKO;0.5
Gian Villante;Jake Collier;Jake Collier;Decision - Unanimous;1.0
Ovince Saint Preux;Jamahal Hill;Jamahal Hill;KO/TKO;0.5
Matt Wiman;Jordan Leavitt;Jordan Leavitt;KO/TKO;0.5
Jack Hermansson;Marvin Vettori;Marvin Vettori;Decision - Unanimous;1.0
Ashlee Evans-Smith;Norma Dumont;Norma Dumont;Decision - Unanimous;1.0
Jonathan Pearce;Kai Kamaka;Jonathan Pearce;KO/TKO;0.5
Miguel Baeza;Takashi Sato;Miguel Baeza;Submission;0.5
Josh Parisian;Parker Porter;Parker Porter;Decision - Unanimous;1.0
Anthony Smith;Devin Clark;Anthony Smith;Submission;0.5
Spike Carlyle;Bill Algeo;Bill Algeo;Decision - Unanimous;1.0
Martin Day;Anderson Dos Santos;Anderson Dos Santos;Submission;0.5
Luke Sanders;Nate Maness;Nate Maness;Submission;0.5
Gina Mazany;Rachael Ostovich;Gina Mazany;KO/TKO;0.5
Su Mudaerji;Malcolm Gordon;Su Mudaerji;KO/TKO;0.5
Brandon Moreno;Brandon Royval;Brandon Moreno;KO/TKO;0.5
Joaquin Buckley;Jordan Wright;Joaquin Buckley;KO/TKO;0.5
Katlyn Chookagian;Cynthia Calvillo;Katlyn Chookagian;Decision - Unanimous;1.0
Antonina Shevchenko;Ariane Lipski;Antonina Shevchenko;KO/TKO;0.5
Valentina Shevchenko;Jennifer Maia;Valentina Shevchenko;Decision - Unanimous;1.0
Deiveson Figueiredo;Alex Perez;Deiveson Figueiredo;Submission;0.5
Mauricio Rua;Paul Craig;Paul Craig;KO/TKO;0.5
Mike Perry;Tim Means;Tim Means;Decision - Unanimous;1.0
Alan Jouban;Jared Gooden;Alan Jouban;Decision - Unanimous;1.0
Daniel Rodriguez;Nicolas Dalby;Nicolas Dalby;Decision - Unanimous;1.0
Louis Cosce;Sasha Palatnikov;Sasha Palatnikov;KO/TKO;0.5
Kyle Daukaus;Dustin Stoltzfus;Kyle Daukaus;Decision - Unanimous;1.0
Ashley Yoder;Miranda Granger;Ashley Yoder;Decision - Unanimous;1.0
Kay Hansen;Cory McKenna;Cory McKenna;Decision - Unanimous;1.0
Randa Markos;Kanako Murata;Kanako Murata;Decision - Unanimous;1.0
Brendan Allen;Sean Strickland;Sean Strickland;KO/TKO;0.5
Geraldo de Freitas;Tony Gravely;Tony Gravely;Decision - Split;1.0
Alex Morono;Rhys McKee;Alex Morono;Decision - Unanimous;1.0
Abdul Razak Alhassan;Khaos Williams;Khaos Williams;KO/TKO;0.5
Paul Felder;Rafael Dos Anjos;Rafael Dos Anjos;Decision - Split;1.0
Don'Tale Mayes;Roque Martinez;Don'Tale Mayes;Decision - Unanimous;1.0
Thiago Santos;Glover Teixeira;Glover Teixeira;Submission;0.5
Andrei Arlovski;Tanner Boser;Andrei Arlovski;Decision - Unanimous;1.0
Alexandr Romanov;Marcos Rogerio de Lima;Alexandr Romanov;Submission;0.5
Claudia Gadelha;Yan Xiaonan;Yan Xiaonan;Decision - Unanimous;1.0
Darren Elkins;Eduardo Garagorri;Darren Elkins;Submission;0.5
Giga Chikadze;Jamey Simmons;Giga Chikadze;KO/TKO;0.5
Raoni Barcelos;Khalid Taha;Raoni Barcelos;Decision - Unanimous;1.0
Trevin Giles;Bevon Lewis;Trevin Giles;KO/TKO;0.5
Gustavo Lopez;Anthony Birchak;Gustavo Lopez;Submission;0.5
Max Griffin;Ramiz Brahimaj;Max Griffin;KO/TKO;0.5
Chris Gruetzemacher;Alexander Hernandez;Alexander Hernandez;KO/TKO;0.5
Adrian Yanez;Victor Rodriguez;Adrian Yanez;KO/TKO;0.5
Maurice Greene;Greg Hardy;Greg Hardy;KO/TKO;0.5
Sean Strickland;Jack Marshman;Sean Strickland;Decision - Unanimous;1.0
Bobby Green;Thiago Moises;Thiago Moises;Decision - Unanimous;1.0
Kevin Holland;Charlie Ontiveros;Kevin Holland;Submission;0.5
Uriah Hall;Anderson Silva;Uriah Hall;KO/TKO;0.5
Bryce Mitchell;Andre Fili;Bryce Mitchell;Decision - Unanimous;1.0
Dustin Jacoby;Justin Ledet;Dustin Jacoby;KO/TKO;0.5
Cole Williams;Jason Witt;Jason Witt;Submission;0.5
Miles Johns;Kevin Natividad;Miles Johns;KO/TKO;0.5
Jacob Malkoun;Phil Hawes;Phil Hawes;KO/TKO;0.5
Alexander Volkov;Walt Harris;Alexander Volkov;KO/TKO;0.5
Magomed Ankalaev;Ion Cutelaba;Magomed Ankalaev;KO/TKO;0.5
Stefan Struve;Tai Tuivasa;Tai Tuivasa;KO/TKO;0.5
Robert Whittaker;Jared Cannonier;Robert Whittaker;Decision - Unanimous;1.0
Lauren Murphy;Liliya Shakirova;Lauren Murphy;Submission;0.5
Khabib Nurmagomedov;Justin Gaethje;Khabib Nurmagomedov;Submission;0.5
Nathaniel Wood;Casey Kenney;Casey Kenney;Decision - Unanimous;1.0
Joel Alvarez;Alexander Yakovlev;Joel Alvarez;Submission;0.5
Liana Jojua;Miranda Maverick;Miranda Maverick;TKO - Doctor's Stoppage;0.5
Da-Un Jung;Sam Alvey;;Decision - Split;1.0
Alex Oliveira;Shavkat Rakhmonov;Shavkat Rakhmonov;Submission;0.5
Katlyn Chookagian;Jessica Andrade;Jessica Andrade;KO/TKO;0.5
Thomas Almeida;Jonathan Martinez;Jonathan Martinez;Decision - Unanimous;1.0
Jimmy Crute;Modestas Bukauskas;Jimmy Crute;KO/TKO;0.5
Mateusz Gamrot;Guram Kutateladze;Guram Kutateladze;Decision - Split;1.0
Junyong Park;John Phillips;Junyong Park;Decision - Unanimous;1.0
Gillian Robertson;Poliana Botelho;Gillian Robertson;Decision - Unanimous;1.0
Claudio Silva;James Krause;James Krause;Decision - Unanimous;1.0
Brian Ortega;Chan Sung Jung;Brian Ortega;Decision - Unanimous;1.0
Gadzhimurad Antigulov;Maxim Grishin;Maxim Grishin;KO/TKO;0.5
Said Nurmagomedov;Mark Striegl;Said Nurmagomedov;KO/TKO;0.5
Jamie Mullarkey;Fares Ziam;Fares Ziam;Decision - Unanimous;1.0
Marlon Moraes;Cory Sandhagen;Cory Sandhagen;KO/TKO;0.5
Tom Breese;KB Bhullar;Tom Breese;KO/TKO;0.5
Chris Daukaus;Rodrigo Nascimento;Chris Daukaus;KO/TKO;0.5
Markus Perez;Dricus Du Plessis;Dricus Du Plessis;KO/TKO;0.5
Ben Rothwell;Marcin Tybura;Marcin Tybura;Decision - Unanimous;1.0
