R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Youssef Zalal;Ilia Topuria;Ilia Topuria;Decision - Unanimous;1.0
Tom Aspinall;Alan Baudot;Tom Aspinall;KO/TKO;0.5
Edson Barboza;Makwan Amirkhani;Edson Barboza;Decision - Unanimous;1.0
Impa Kasanganay;Joaquin Buckley;Joaquin Buckley;KO/TKO;0.5
Giga Chikadze;Omar Morales;Giga Chikadze;Decision - Unanimous;1.0
Ali AlQaisi;Tony Kelley;Tony Kelley;Decision - Unanimous;1.0
Tracy Cortez;Stephanie Egger;Tracy Cortez;Decision - Unanimous;1.0
Bruno Silva;Tagir Ulanbekov;Tagir Ulanbekov;Decision - Unanimous;1.0
Carlos Condit;Court McGee;Carlos Condit;Decision - Unanimous;1.0
Dequan Townsend;Dusko Todorovic;Dusko Todorovic;KO/TKO;0.5
Charles Jourdain;Josh Culibao;;Decision - Split;1.0
Germaine de Randamie;Julianna Pena;Germaine de Randamie;Submission;0.5
Kyler Phillips;Cameron Else;Kyler Phillips;KO/TKO;0.5
Holly Holm;Irene Aldana;Holly Holm;Decision - Unanimous;1.0
Yorgan De Castro;Carlos Felipe;Carlos Felipe;Decision - Unanimous;1.0
Jordan Williams;Nassourdine Imavov;Nassourdine Imavov;Decision - Unanimous;1.0
Loma Lookboonmee;Jinh Yu Frey;Loma Lookboonmee;Decision - Unanimous;1.0
Casey Kenney;Heili Alateng;Casey Kenney;Decision - Unanimous;1.0
Luigi Vendramini;Jessin Ayari;Luigi Vendramini;KO/TKO;0.5
Ketlen Vieira;Sijara Eubanks;Ketlen Vieira;Decision - Unanimous;1.0
Israel Adesanya;Paulo Costa;Israel Adesanya;KO/TKO;0.5
Kai Kara-France;Brandon Royval;Brandon Royval;Submission;0.5
Shane Young;Ludovit Klein;Ludovit Klein;KO/TKO;0.5
Diego Sanchez;Jake Matthews;Jake Matthews;Decision - Unanimous;1.0
Brad Riddell;Alex Da Silva;Brad Riddell;Decision - Unanimous;1.0
Dominick Reyes;Jan Blachowicz;Jan Blachowicz;KO/TKO;0.5
Hakeem Dawodu;Zubaira Tukhugov;Hakeem Dawodu;Decision - Split;1.0
William Knight;Aleksa Camur;William Knight;Decision - Unanimous;1.0
Khadis Ibragimov;Danilo Marques;Danilo Marques;Decision - Unanimous;1.0
Juan Espino;Jeff Hughes;Juan Espino;Submission;0.5
Johnny Walker;Ryan Spann;Johnny Walker;KO/TKO;0.5
Mirsad Bektic;Damon Jackson;Damon Jackson;Submission;0.5
Colby Covington;Tyron Woodley;Colby Covington;KO/TKO;0.5
Mackenzie Dern;Randa Markos;Mackenzie Dern;Submission;0.5
Jordan Espinosa;David Dvorak;David Dvorak;Decision - Unanimous;1.0
Kevin Holland;Darren Stewart;Kevin Holland;Decision - Split;1.0
Khamzat Chimaev;Gerald Meerschaert;Khamzat Chimaev;KO/TKO;0.5
Donald Cerrone;Niko Price;;Overturned;2.0
Jessica-Rose Clark;Sarah Alpar;Jessica-Rose Clark;KO/TKO;0.5
Darrick Minner;TJ Laramie;Darrick Minner;Submission;0.5
Journey Newson;Randy Costa;Randy Costa;KO/TKO;0.5
Mayra Bueno Silva;Mara Romero Borella;Mayra Bueno Silva;Submission;0.5
Andre Ewell;Irwin Rivera;Andre Ewell;Decision - Split;1.0
Tyson Nam;Jerome Rivera;Tyson Nam;KO/TKO;0.5
Bobby Green;Alan Patrick;Bobby Green;Decision - Unanimous;1.0
Roosevelt Roberts;Kevin Croom;;Overturned;2.0
Billy Quarantillo;Kyle Nelson;Billy Quarantillo;KO/TKO;0.5
Julia Avila;Sijara Eubanks;Sijara Eubanks;Decision - Unanimous;1.0
Michelle Waterson;Angela Hill;Michelle Waterson;Decision - Split;1.0
Roxanne Modafferi;Andrea Lee;Roxanne Modafferi;Decision - Unanimous;1.0
Ed Herman;Mike Rodriguez;Ed Herman;Submission;0.5
Ottman Azaitar;Khama Worthy;Ottman Azaitar;KO/TKO;0.5
Alexandr Romanov;Roque Martinez;Alexandr Romanov;Submission;0.5
Brok Weaver;Jalin Turner;Jalin Turner;Submission;0.5
Bryan Barberena;Anthony Ivy;Bryan Barberena;Decision - Unanimous;1.0
Sabina Mazo;Justine Kish;Sabina Mazo;Submission;0.5
Ovince Saint Preux;Alonzo Menifield;Ovince Saint Preux;KO/TKO;0.5
Brian Kelleher;Ray Rodriguez;Brian Kelleher;Submission;0.5
Michel Pereira;Zelim Imadaev;Michel Pereira;Submission;0.5
Viviane Araujo;Montana De La Rosa;Viviane Araujo;Decision - Unanimous;1.0
Andre Muniz;Bartosz Fabinski;Andre Muniz;Submission;0.5
Cole Smith;Hunter Azure;Hunter Azure;Decision - Unanimous;1.0
Alistair Overeem;Augusto Sakai;Alistair Overeem;KO/TKO;0.5
Alessio Di Chirico;Zak Cummings;Zak Cummings;Decision - Unanimous;1.0
Anthony Smith;Aleksandar Rakic;Aleksandar Rakic;Decision - Unanimous;1.0
Ricardo Lamas;Bill Algeo;Ricardo Lamas;Decision - Unanimous;1.0
Robbie Lawler;Neil Magny;Neil Magny;Decision - Unanimous;1.0
Ji Yeon Kim;Alexa Grasso;Alexa Grasso;Decision - Unanimous;1.0
Alex Caceres;Austin Springer;Alex Caceres;Submission;0.5
Maki Pitolo;Impa Kasanganay;Impa Kasanganay;Decision - Unanimous;1.0
Sean Brady;Christian Aguilera;Sean Brady;Submission;0.5
Mallory Martin;Hannah Cifers;Mallory Martin;Submission;0.5
Polyana Viana;Emily Whitmire;Polyana Viana;Submission;0.5
Ike Villanueva;Jordan Wright;Jordan Wright;TKO - Doctor's Stoppage;0.5
Carlton Minus;Matthew Semelsberger;Matthew Semelsberger;Decision - Unanimous;1.0
Daniel Rodriguez;Dwight Grant;Daniel Rodriguez;KO/TKO;0.5
Marcin Prachnio;Mike Rodriguez;Mike Rodriguez;KO/TKO;0.5
Amanda Lemos;Inoue Mizuki;Amanda Lemos;Decision - Unanimous;1.0
Mariya Agapova;Shana Dobson;Shana Dobson;KO/TKO;0.5
Austin Hubbard;Joe Solecki;Joe Solecki;Submission;0.5
Pedro Munhoz;Frankie Edgar;Frankie Edgar;Decision - Split;1.0
Timur Valiev;Trevin Jones;;Overturned;2.0
Junior Dos Santos;Jairzinho Rozenstruik;Jairzinho Rozenstruik;KO/TKO;0.5
Herbert Burns;Daniel Pineda;Daniel Pineda;KO/TKO;0.5
Felice Herrig;Virna Jandiroba;Virna Jandiroba;Submission;0.5
Sean O'Malley;Marlon Vera;Marlon Vera;KO/TKO;0.5
John Dodson;Merab Dvalishvili;Merab Dvalishvili;Decision - Unanimous;1.0
Stipe Miocic;Daniel Cormier;Stipe Miocic;Decision - Unanimous;1.0
TJ Brown;Danny Chavez;Danny Chavez;Decision - Unanimous;1.0
Jim Miller;Vinc Pichel;Vinc Pichel;Decision - Unanimous;1.0
Chris Daukaus;Parker Porter;Chris Daukaus;KO/TKO;0.5
Kai Kamaka;Tony Kelley;Kai Kamaka;Decision - Unanimous;1.0
Ashley Yoder;Livinha Souza;Livinha Souza;Decision - Unanimous;1.0
Tim Means;Laureano Staropoli;Tim Means;Decision - Unanimous;1.0
Kevin Holland;Joaquin Buckley;Kevin Holland;KO/TKO;0.5
Nasrat Haqparast;Alexander Munoz;Nasrat Haqparast;Decision - Unanimous;1.0
Derrick Lewis;Aleksei Oleinik;Derrick Lewis;KO/TKO;0.5
Yana Kunitskaya;Julija Stoliarenko;Yana Kunitskaya;Decision - Unanimous;1.0
Beneil Dariush;Scott Holtzman;Beneil Dariush;KO/TKO;0.5
Maki Pitolo;Darren Stewart;Darren Stewart;Submission;0.5
Omari Akhmedov;Chris Weidman;Chris Weidman;Decision - Unanimous;1.0
Youssef Zalal;Peter Barrett;Youssef Zalal;Decision - Unanimous;1.0
Irwin Rivera;Ali AlQaisi;Irwin Rivera;Decision - Split;1.0
Gavin Tucker;Justin Jaynes;Gavin Tucker;Submission;0.5
Andrew Sanchez;Wellington Turman;Andrew Sanchez;KO/TKO;0.5
Joanne Calderwood;Jennifer Maia;Jennifer Maia;Submission;0.5
Johnny Munoz;Nate Maness;Nate Maness;Decision - Unanimous;1.0
Frankie Saenz;Jonathan Martinez;Jonathan Martinez;KO/TKO;0.5
Jamall Emmers;Vince Cachero;Jamall Emmers;Decision - Unanimous;1.0
Vicente Luque;Randy Brown;Vicente Luque;KO/TKO;0.5
Derek Brunson;Edmen Shahbazyan;Derek Brunson;KO/TKO;0.5
Chris Gutierrez;Cody Durden;;Decision - Unanimous;1.0
Lando Vannata;Bobby Green;Bobby Green;Decision - Unanimous;1.0
Alex Oliveira;Peter Sobotta;Alex Oliveira;Decision - Unanimous;1.0
Robert Whittaker;Darren Till;Robert Whittaker;Decision - Unanimous;1.0
Mauricio Rua;Rogerio Nogueira;Mauricio Rua;Decision - Split;1.0
Francisco Trinaldo;Jai Herbert;Francisco Trinaldo;KO/TKO;0.5
Carla Esparza;Marina Rodriguez;Carla Esparza;Decision - Split;1.0
Khamzat Chimaev;Rhys McKee;Khamzat Chimaev;KO/TKO;0.5
Paul Craig;Gadzhimurad Antigulov;Paul Craig;Submission;0.5
Fabricio Werdum;Alexander Gustafsson;Fabricio Werdum;Submission;0.5
Tom Aspinall;Jake Collier;Tom Aspinall;KO/TKO;0.5
Nicolas Dalby;Jesse Ronson;;Overturned;2.0
Tanner Boser;Raphael Pessoa;Tanner Boser;KO/TKO;0.5
Movsar Evloev;Mike Grundy;Movsar Evloev;Decision - Unanimous;1.0
Ramazan Emeev;Niklas Stolze;Ramazan Emeev;Decision - Unanimous;1.0
Bethe Correia;Pannie Kianzad;Pannie Kianzad;Decision - Unanimous;1.0
Nathaniel Wood;John Castaneda;Nathaniel Wood;Decision - Unanimous;1.0
Joe Duffy;Joel Alvarez;Joel Alvarez;Submission;0.5
Jack Hermansson;Kelvin Gastelum;Jack Hermansson;Submission;0.5
Marc Diakiese;Rafael Fiziev;Rafael Fiziev;Decision - Unanimous;1.0
Alexandre Pantoja;Askar Askarov;Askar Askarov;Decision - Unanimous;1.0
Grant Dawson;Nad Narimani;Grant Dawson;Decision - Unanimous;1.0
Deiveson Figueiredo;Joseph Benavidez;Deiveson Figueiredo;Submission;0.5
Roman Dolidze;Khadis Ibragimov;Roman Dolidze;KO/TKO;0.5
Ariane Lipski;Luana Carolina;Ariane Lipski;Submission;0.5
Malcolm Gordon;Amir Albazi;Amir Albazi;Submission;0.5
Brett Johns;Montel Jackson;Brett Johns;Decision - Unanimous;1.0
Carlos Felipe;Serghei Spivac;Serghei Spivac;Decision - Majority;1.0
Davi Ramos;Arman Tsarukyan;Arman Tsarukyan;Decision - Unanimous;1.0
Modestas Bukauskas;Andreas Michailidis;Modestas Bukauskas;KO/TKO;0.5
Molly McCann;Taila Santos;Taila Santos;Decision - Unanimous;1.0
John Phillips;Khamzat Chimaev;Khamzat Chimaev;Submission;0.5
Ricardo Ramos;Lerone Murphy;Lerone Murphy;KO/TKO;0.5
Jimmie Rivera;Cody Stamann;Jimmie Rivera;Decision - Unanimous;1.0
Calvin Kattar;Dan Ige;Calvin Kattar;Decision - Unanimous;1.0
Abdul Razak Alhassan;Mounir Lazzez;Mounir Lazzez;Decision - Unanimous;1.0
Tim Elliott;Ryan Benoit;Tim Elliott;Decision - Unanimous;1.0
Diana Belbita;Liana Jojua;Liana Jojua;Submission;0.5
Jack Shore;Aaron Phillips;Jack Shore;Submission;0.5
Jared Gordon;Chris Fishgold;Jared Gordon;Decision - Unanimous;1.0
Jessica Andrade;Rose Namajunas;Rose Namajunas;Decision - Split;1.0
Makwan Amirkhani;Danny Henry;Makwan Amirkhani;Submission;0.5
Volkan Oezdemir;Jiri Prochazka;Jiri Prochazka;KO/TKO;0.5
Elizeu Zaleski dos Santos;Muslim Salikhov;Muslim Salikhov;Decision - Split;1.0
Petr Yan;Jose Aldo;Petr Yan;KO/TKO;0.5
Alexander Volkanovski;Max Holloway;Alexander Volkanovski;Decision - Split;1.0
Kamaru Usman;Jorge Masvidal;Kamaru Usman;Decision - Unanimous;1.0
Amanda Ribas;Paige VanZant;Amanda Ribas;Submission;0.5
Leonardo Santos;Roman Bogatov;Leonardo Santos;Decision - Unanimous;1.0
Karol Rosa;Vanessa Melo;Karol Rosa;Decision - Unanimous;1.0
Marcin Tybura;Maxim Grishin;Marcin Tybura;Decision - Unanimous;1.0
Raulian Paiva;Zhalgas Zhumagulov;Raulian Paiva;Decision - Unanimous;1.0
Martin Day;Davey Grant;Davey Grant;KO/TKO;0.5
Luis Pena;Khama Worthy;Khama Worthy;Submission;0.5
Philipe Lins;Tanner Boser;Tanner Boser;KO/TKO;0.5
Gian Villante;Maurice Greene;Maurice Greene;Submission;0.5
Sean Woodson;Julian Erosa;Julian Erosa;Submission;0.5
Mike Perry;Mickey Gall;Mike Perry;Decision - Unanimous;1.0
Dustin Poirier;Dan Hooker;Dustin Poirier;Decision - Unanimous;1.0
Brendan Allen;Kyle Daukaus;Brendan Allen;Decision - Unanimous;1.0
Takashi Sato;Jason Witt;Takashi Sato;KO/TKO;0.5
Jordan Griffin;Youssef Zalal;Youssef Zalal;Decision - Unanimous;1.0
Kay Hansen;Jinh Yu Frey;Kay Hansen;Submission;0.5
Jim Miller;Roosevelt Roberts;Jim Miller;Submission;0.5
Marc-Andre Barriault;Oskar Piechota;;Overturned;2.0
Clay Guida;Bobby Green;Bobby Green;Decision - Unanimous;1.0
Belal Muhammad;Lyman Good;Belal Muhammad;Decision - Unanimous;1.0
Curtis Blaydes;Alexander Volkov;Curtis Blaydes;Decision - Unanimous;1.0
Josh Emmett;Shane Burgos;Josh Emmett;Decision - Unanimous;1.0
Tecia Torres;Brianna Van Buren;Tecia Torres;Decision - Unanimous;1.0
Raquel Pennington;Marion Reneau;Raquel Pennington;Decision - Unanimous;1.0
Cortney Casey;Gillian Robertson;Gillian Robertson;Submission;0.5
Frank Camacho;Justin Jaynes;Justin Jaynes;KO/TKO;0.5
Roxanne Modafferi;Lauren Murphy;Lauren Murphy;Decision - Unanimous;1.0
Austin Hubbard;Max Rohskopf;Austin Hubbard;TKO - Doctor's Stoppage;0.5
Mariya Agapova;Hannah Cifers;Mariya Agapova;Submission;0.5
Andre Fili;Charles Jourdain;Andre Fili;Decision - Split;1.0
Merab Dvalishvili;Gustavo Lopez;Merab Dvalishvili;Decision - Unanimous;1.0
Jordan Espinosa;Mark De La Rosa;Jordan Espinosa;Decision - Unanimous;1.0
Karl Roberson;Marvin Vettori;Marvin Vettori;Submission;0.5
Charles Rosa;Kevin Aguilar;Charles Rosa;Decision - Split;1.0
Jessica Eye;Cynthia Calvillo;Cynthia Calvillo;Decision - Unanimous;1.0
Julia Avila;Gina Mazany;Julia Avila;KO/TKO;0.5
Anthony Ivy;Christian Aguilera;Christian Aguilera;KO/TKO;0.5
Tyson Nam;Zarrukh Adashev;Tyson Nam;KO/TKO;0.5
Cody Stamann;Brian Kelleher;Cody Stamann;Decision - Unanimous;1.0
Eddie Wineland;Sean O'Malley;Sean O'Malley;KO/TKO;0.5
Alex Caceres;Chase Hooper;Alex Caceres;Decision - Unanimous;1.0
Raphael Assuncao;Cody Garbrandt;Cody Garbrandt;KO/TKO;0.5
Amanda Nunes;Felicia Spencer;Amanda Nunes;Decision - Unanimous;1.0
Aljamain Sterling;Cory Sandhagen;Aljamain Sterling;Submission;0.5
Neil Magny;Anthony Rocco Martin;Neil Magny;Decision - Unanimous;1.0
Ian Heinisch;Gerald Meerschaert;Ian Heinisch;KO/TKO;0.5
Charles Byrd;Maki Pitolo;Maki Pitolo;KO/TKO;0.5
Evan Dunham;Herbert Burns;Herbert Burns;Submission;0.5
Alonzo Menifield;Devin Clark;Devin Clark;Decision - Unanimous;1.0
Jussier Formiga;Alex Perez;Alex Perez;KO/TKO;0.5
Blagoy Ivanov;Augusto Sakai;Augusto Sakai;Decision - Split;1.0
Jamahal Hill;Klidson Abreu;;Overturned;2.0
Mackenzie Dern;Hannah Cifers;Mackenzie Dern;Submission;0.5
Daniel Rodriguez;Gabe Green;Daniel Rodriguez;Decision - Unanimous;1.0
Katlyn Chookagian;Antonina Shevchenko;Katlyn Chookagian;Decision - Unanimous;1.0
Tyron Woodley;Gilbert Burns;Gilbert Burns;Decision - Unanimous;1.0
Roosevelt Roberts;Brok Weaver;Roosevelt Roberts;Submission;0.5
Billy Quarantillo;Spike Carlyle;Billy Quarantillo;Decision - Unanimous;1.0
Tim Elliott;Brandon Royval;Brandon Royval;Submission;0.5
Louis Smolka;Casey Kenney;Casey Kenney;Submission;0.5
Chris Gutierrez;Vince Morales;Chris Gutierrez;KO/TKO;0.5
Dan Ige;Edson Barboza;Dan Ige;Decision - Split;1.0
Claudia Gadelha;Angela Hill;Claudia Gadelha;Decision - Split;1.0
Anthony Hernandez;Kevin Holland;Kevin Holland;KO/TKO;0.5
Giga Chikadze;Irwin Rivera;Giga Chikadze;Decision - Unanimous;1.0
Eryk Anders;Krzysztof Jotko;Krzysztof Jotko;Decision - Unanimous;1.0
Matt Brown;Miguel Baeza;Miguel Baeza;KO/TKO;0.5
Alistair Overeem;Walt Harris;Alistair Overeem;KO/TKO;0.5
Song Yadong;Marlon Vera;Song Yadong;Decision - Unanimous;1.0
Cortney Casey;Mara Romero Borella;Cortney Casey;Submission;0.5
Darren Elkins;Nate Landwehr;Nate Landwehr;Decision - Unanimous;1.0
Rodrigo Nascimento;Don'Tale Mayes;Rodrigo Nascimento;Submission;0.5
Ricky Simon;Ray Borg;Ricky Simon;Decision - Split;1.0
Ben Rothwell;Ovince Saint Preux;Ben Rothwell;Decision - Split;1.0
Gabriel Benitez;Omar Morales;Omar Morales;Decision - Unanimous;1.0
Anthony Smith;Glover Teixeira;Glover Teixeira;KO/TKO;0.5
Andrei Arlovski;Philipe Lins;Andrei Arlovski;Decision - Unanimous;1.0
Michael Johnson;Thiago Moises;Thiago Moises;Submission;0.5
Alexander Hernandez;Drew Dober;Drew Dober;KO/TKO;0.5
Sijara Eubanks;Sarah Moras;Sijara Eubanks;Decision - Unanimous;1.0
Hunter Azure;Brian Kelleher;Brian Kelleher;KO/TKO;0.5
Chase Sherman;Ike Villanueva;Chase Sherman;KO/TKO;0.5
Carla Esparza;Michelle Waterson;Carla Esparza;Decision - Split;1.0
Anthony Pettis;Donald Cerrone;Anthony Pettis;Decision - Unanimous;1.0
Aleksei Oleinik;Fabricio Werdum;Aleksei Oleinik;Decision - Split;1.0
Jeremy Stephens;Calvin Kattar;Calvin Kattar;KO/TKO;0.5
Tony Ferguson;Justin Gaethje;Justin Gaethje;KO/TKO;0.5
Francis Ngannou;Jairzinho Rozenstruik;Francis Ngannou;KO/TKO;0.5
Henry Cejudo;Dominick Cruz;Henry Cejudo;KO/TKO;0.5
Vicente Luque;Niko Price;Vicente Luque;TKO - Doctor's Stoppage;0.5
Greg Hardy;Yorgan De Castro;Greg Hardy;Decision - Unanimous;1.0
Ryan Spann;Sam Alvey;Ryan Spann;Decision - Split;1.0
Bryce Mitchell;Charles Rosa;Bryce Mitchell;Decision - Unanimous;1.0
Amanda Ribas;Randa Markos;Amanda Ribas;Decision - Unanimous;1.0
Jussier Formiga;Brandon Moreno;Brandon Moreno;Decision - Unanimous;1.0
Renato Moicano;Damir Hadzovic;Renato Moicano;Submission;0.5
Elizeu Zaleski dos Santos;Aleksei Kunchenko;Elizeu Zaleski dos Santos;Decision - Unanimous;1.0
Johnny Walker;Nikita Krylov;Nikita Krylov;Decision - Unanimous;1.0
Demian Maia;Gilbert Burns;Gilbert Burns;KO/TKO;0.5
Kevin Lee;Charles Oliveira;Charles Oliveira;Submission;0.5
Francisco Trinaldo;John Makdessi;Francisco Trinaldo;Decision - Unanimous;1.0
Rani Yahya;Enrique Barzola;;Decision - Majority;1.0
Mayra Bueno Silva;Maryna Moroz;Maryna Moroz;Decision - Unanimous;1.0
Bruno Silva;David Dvorak;David Dvorak;Decision - Unanimous;1.0
Veronica Macedo;Bea Malecki;Bea Malecki;Decision - Unanimous;1.0
Beneil Dariush;Drakkar Klose;Beneil Dariush;KO/TKO;0.5
Neil Magny;Li Jingliang;Neil Magny;Decision - Unanimous;1.0
Sean O'Malley;Jose Quinonez;Sean O'Malley;KO/TKO;0.5
Israel Adesanya;Yoel Romero;Israel Adesanya;Decision - Unanimous;1.0
Zhang Weili;Joanna Jedrzejczyk;Zhang Weili;Decision - Split;1.0
Rodolfo Vieira;Saparbeg Safarov;Rodolfo Vieira;Submission;0.5
Mark Madsen;Austin Hubbard;Mark Madsen;Decision - Unanimous;1.0
Giga Chikadze;Jamall Emmers;Giga Chikadze;Decision - Split;1.0
Batgerel Danaa;Guido Cannetti;Batgerel Danaa;KO/TKO;0.5
Gerald Meerschaert;Deron Winn;Gerald Meerschaert;Submission;0.5
Alex Oliveira;Max Griffin;Alex Oliveira;Decision - Split;1.0
Marcin Tybura;Serghei Spivac;Marcin Tybura;Decision - Unanimous;1.0
Ion Cutelaba;Magomed Ankalaev;Magomed Ankalaev;KO/TKO;0.5
Felicia Spencer;Zarah Fairn;Felicia Spencer;KO/TKO;0.5
Grant Dawson;Darrick Minner;Grant Dawson;Submission;0.5
Brendan Allen;Tom Breese;Brendan Allen;KO/TKO;0.5
Gabriel Silva;Kyler Phillips;Kyler Phillips;Decision - Unanimous;1.0
Joseph Benavidez;Deiveson Figueiredo;Deiveson Figueiredo;KO/TKO;0.5
Megan Anderson;Norma Dumont;Megan Anderson;KO/TKO;0.5
Jordan Griffin;TJ Brown;Jordan Griffin;Submission;0.5
Sean Brady;Ismail Naurdiev;Sean Brady;Decision - Unanimous;1.0
Aalon Cruz;Spike Carlyle;Spike Carlyle;KO/TKO;0.5
Luis Pena;Steve Garcia;Luis Pena;Decision - Unanimous;1.0
Jimmy Crute;Michal Oleksiejczuk;Jimmy Crute;Submission;0.5
Paul Felder;Dan Hooker;Dan Hooker;Decision - Split;1.0
Jalin Turner;Josh Culibao;Jalin Turner;KO/TKO;0.5
Karolina Kowalkiewicz;Yan Xiaonan;Yan Xiaonan;Decision - Unanimous;1.0
Ben Sosoli;Marcos Rogerio de Lima;Marcos Rogerio de Lima;KO/TKO;0.5
Brad Riddell;Magomed Mustafaev;Brad Riddell;Decision - Split;1.0
Kevin Aguilar;Zubaira Tukhugov;Zubaira Tukhugov;KO/TKO;0.5
Jake Matthews;Emil Meek;Jake Matthews;Decision - Unanimous;1.0
Loma Lookboonmee;Angela Hill;Angela Hill;Decision - Unanimous;1.0
Kai Kara-France;Tyson Nam;Kai Kara-France;Decision - Unanimous;1.0
Callan Potter;Song Kenan;Song Kenan;KO/TKO;0.5
Priscila Cachoeira;Shana Dobson;Priscila Cachoeira;KO/TKO;0.5
Tim Means;Daniel Rodriguez;Daniel Rodriguez;Submission;0.5
Lando Vannata;Yancy Medeiros;Lando Vannata;Decision - Unanimous;1.0
Brok Weaver;Kazula Vargas;Brok Weaver;DQ;2.0
Montana De La Rosa;Mara Romero Borella;Montana De La Rosa;Decision - Unanimous;1.0
Rogerio Bontorin;Ray Borg;Ray Borg;Decision - Unanimous;1.0
Diego Sanchez;Michel Pereira;Diego Sanchez;DQ;2.0
Corey Anderson;Jan Blachowicz;Jan Blachowicz;KO/TKO;0.5
John Dodson;Nathaniel Wood;John Dodson;KO/TKO;0.5
Jim Miller;Scott Holtzman;Scott Holtzman;Decision - Unanimous;1.0
Devin Clark;Dequan Townsend;Devin Clark;Decision - Unanimous;1.0
Casey Kenney;Merab Dvalishvili;Merab Dvalishvili;Decision - Unanimous;1.0
Mark De La Rosa;Raulian Paiva;Raulian Paiva;KO/TKO;0.5
Macy Chiasson;Shanna Young;Macy Chiasson;Decision - Unanimous;1.0
Valentina Shevchenko;Katlyn Chookagian;Valentina Shevchenko;KO/TKO;0.5
Juan Adams;Justin Tafa;Justin Tafa;KO/TKO;0.5
Trevin Giles;James Krause;Trevin Giles;Decision - Split;1.0
Derrick Lewis;Ilir Latifi;Derrick Lewis;Decision - Unanimous;1.0
Lauren Murphy;Andrea Lee;Lauren Murphy;Decision - Split;1.0
Jon Jones;Dominick Reyes;Jon Jones;Decision - Unanimous;1.0
Mirsad Bektic;Dan Ige;Dan Ige;Decision - Split;1.0
Alex Morono;Khaos Williams;Khaos Williams;KO/TKO;0.5
Andre Ewell;Jonathan Martinez;Andre Ewell;Decision - Split;1.0
Domingo Pilarte;Journey Newson;;Overturned;2.0
Miles Johns;Mario Bautista;Mario Bautista;KO/TKO;0.5
Austin Lingo;Youssef Zalal;Youssef Zalal;Decision - Unanimous;1.0
Curtis Blaydes;Junior Dos Santos;Curtis Blaydes;KO/TKO;0.5
Justine Kish;Lucie Pudilova;Justine Kish;Decision - Unanimous;1.0
Bevon Lewis;Dequan Townsend;Bevon Lewis;Decision - Unanimous;1.0
Jordan Espinosa;Alex Perez;Alex Perez;Submission;0.5
Jamahal Hill;Darko Stosic;Jamahal Hill;Decision - Unanimous;1.0
Rafael Dos Anjos;Michael Chiesa;Michael Chiesa;Decision - Unanimous;1.0
Montel Jackson;Felipe Colares;Montel Jackson;Decision - Unanimous;1.0
Arnold Allen;Nik Lentz;Arnold Allen;Decision - Unanimous;1.0
Sara McMann;Lina Lansberg;Sara McMann;Decision - Unanimous;1.0
Hannah Cifers;Angela Hill;Angela Hill;KO/TKO;0.5
Brett Johns;Tony Gravely;Brett Johns;Submission;0.5
Herbert Burns;Nate Landwehr;Herbert Burns;KO/TKO;0.5
Anthony Pettis;Diego Ferreira;Diego Ferreira;Submission;0.5
Tim Elliott;Askar Askarov;Askar Askarov;Decision - Unanimous;1.0
Aleksei Oleinik;Maurice Greene;Aleksei Oleinik;Submission;0.5
Holly Holm;Raquel Pennington;Holly Holm;Decision - Unanimous;1.0
Conor McGregor;Donald Cerrone;Conor McGregor;KO/TKO;0.5
Roxanne Modafferi;Maycee Barber;Roxanne Modafferi;Decision - Unanimous;1.0
Andre Fili;Sodiq Yusuff;Sodiq Yusuff;Decision - Unanimous;1.0
Brian Kelleher;Ode Osbourne;Brian Kelleher;Submission;0.5
Drew Dober;Nasrat Haqparast;Drew Dober;KO/TKO;0.5
Aleksa Camur;Justin Ledet;Aleksa Camur;Decision - Unanimous;1.0
Sabina Mazo;JJ Aldrich;Sabina Mazo;Decision - Split;1.0
Dooho Choi;Charles Jourdain;Charles Jourdain;KO/TKO;0.5
Volkan Oezdemir;Aleksandar Rakic;Volkan Oezdemir;Decision - Split;1.0
Frankie Edgar;Chan Sung Jung;Chan Sung Jung;KO/TKO;0.5
Da-Un Jung;Mike Rodriguez;Da-Un Jung;KO/TKO;0.5
SeungWoo Choi;Suman Mokhtarian;SeungWoo Choi;Decision - Unanimous;1.0
Kyung Ho Kang;Pingyuan Liu;Kyung Ho Kang;Decision - Split;1.0
Ciryl Gane;Tanner Boser;Ciryl Gane;Decision - Unanimous;1.0
Dong Hyun Ma;Omar Morales;Omar Morales;Decision - Unanimous;1.0
Miranda Granger;Amanda Lemos;Amanda Lemos;Submission;0.5
Alexandre Pantoja;Matt Schnell;Alexandre Pantoja;KO/TKO;0.5
Heili Alateng;Ryan Benoit;Heili Alateng;Decision - Split;1.0
Junyong Park;Marc-Andre Barriault;Junyong Park;Decision - Unanimous;1.0
Raoni Barcelos;Said Nurmagomedov;Raoni Barcelos;Decision - Unanimous;1.0
Geoff Neal;Mike Perry;Geoff Neal;KO/TKO;0.5
Ian Heinisch;Omari Akhmedov;Omari Akhmedov;Decision - Unanimous;1.0
Amanda Nunes;Germaine de Randamie;Amanda Nunes;Decision - Unanimous;1.0
Max Holloway;Alexander Volkanovski;Alexander Volkanovski;Decision - Unanimous;1.0
Petr Yan;Urijah Faber;Petr Yan;KO/TKO;0.5
Kamaru Usman;Colby Covington;Kamaru Usman;KO/TKO;0.5
