R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Carlos Condit;Tyron Woodley;Welterweight Bout;KO/TKO;0.5
Kelvin Gastelum;Rick Story;Welterweight Bout;Decision - Split;1.0
Dennis Bermudez;Jimy Hettes;Featherweight Bout;KO/TKO;0.5
Diego Sanchez;Myles Jury;Lightweight Bout;Decision - Unanimous;1.0
Jake Shields;Hector Lombard;Welterweight Bout;Decision - Unanimous;1.0
Robert McDaniel;Sean Strickland;Middleweight Bout;Submission;0.5
Will Campuzano;Justin Scoggins;Flyweight Bout;Decision - Unanimous;1.0
Sean Spencer;Alex Garcia;Welterweight Bout;Decision - Split;1.0
Daniel Pineda;Robert Whiteford;Featherweight Bout;Decision - Unanimous;1.0
Renee Forte;Francisco Trevino;Lightweight Bout;Decision - Unanimous;1.0
Luke Barnatt;Mats Nilsson;Middleweight Bout;KO/TKO;0.5
Alexander Gustafsson;Jimi Manuwa;Light Heavyweight Bout;KO/TKO;0.5
Brad Pickett;Neil Seery;Flyweight Bout;Decision - Unanimous;1.0
Gunnar Nelson;Omari Akhmedov;Welterweight Bout;Submission;0.5
Cyrille Diabate;Ilir Latifi;Light Heavyweight Bout;Submission;0.5
Brad Scott;Claudio Silva;Middleweight Bout;Decision - Unanimous;1.0
Igor Araujo;Danny Mitchell;Welterweight Bout;Decision - Unanimous;1.0
Michael Johnson;Melvin Guillard;Lightweight Bout;Decision - Unanimous;1.0
Phil Harris;Louis Gaudinot;Flyweight Bout;Overturned;2.0
Albert Cheng;Anying Wang;Welterweight Bout;TKO - Doctor's Stoppage;0.5
Hatsu Hioki;Ivan Menjivar;Featherweight Bout;Decision - Unanimous;1.0
Sai Wang;Zhang Lipeng;Ultimate Fighter China Welterweight Tournament Title Bout;Decision - Split;1.0
Kazuki Tokudome;Yui Chul Nam;Lightweight Bout;Decision - Split;1.0
Dong Hyun Kim;John Hathaway;Welterweight Bout;KO/TKO;0.5
Jumabieke Tuerxun;Mark Eddiva;Featherweight Bout;Decision - Unanimous;1.0
Nam Phan;Vaughan Lee;Bantamweight Bout;Decision - Unanimous;1.0
Matt Mitrione;Shawn Jordan;Heavyweight Bout;KO/TKO;0.5
Cody Gibson;Aljamain Sterling;Bantamweight Bout;Decision - Unanimous;1.0
Alexis Davis;Jessica Eye;Women's Bantamweight Bout;Decision - Split;1.0
Robert Whittaker;Stephen Thompson;Welterweight Bout;KO/TKO;0.5
Raphael Assuncao;Pedro Munhoz;Bantamweight Bout;Decision - Unanimous;1.0
Rory MacDonald;Demian Maia;Welterweight Bout;Decision - Unanimous;1.0
Mike Pyle;TJ Waldburger;Welterweight Bout;KO/TKO;0.5
Daniel Cormier;Patrick Cummins;Light Heavyweight Bout;KO/TKO;0.5
Ronda Rousey;Sara McMann;UFC Women's Bantamweight Title Bout;KO/TKO;0.5
Rafaello Oliveira;Erik Koch;Lightweight Bout;KO/TKO;0.5
Zach Makovsky;Josh Sampo;Flyweight Bout;Decision - Unanimous;1.0
Ernest Chavez;Yosdenis Cedeno;Lightweight Bout;Decision - Split;1.0
Lyoto Machida;Gegard Mousasi;Middleweight Bout;Decision - Unanimous;1.0
Erick Silva;Takenori Sato;Welterweight Bout;KO/TKO;0.5
Viscardi Andrade;Nicholas Musoke;Welterweight Bout;Decision - Unanimous;1.0
Rodrigo Damm;Ivan Jorge;Lightweight Bout;Decision - Unanimous;1.0
Francisco Trinaldo;Jesse Ronson;Lightweight Bout;Decision - Split;1.0
Charles Oliveira;Andy Ogle;Featherweight Bout;Submission;0.5
Jacare Souza;Francis Carmont;Middleweight Bout;Decision - Unanimous;1.0
Cristiano Marcello;Joe Proctor;Lightweight Bout;Decision - Unanimous;1.0
Iuri Alcantara;Wilson Reis;Bantamweight Bout;Decision - Split;1.0
Ildemar Alcantara;Albert Tumenov;Welterweight Bout;Decision - Split;1.0
Felipe Arantes;Maximo Blanco;Featherweight Bout;Decision - Unanimous;1.0
Douglas Silva de Andrade;Zubaira Tukhugov;Featherweight Bout;Decision - Unanimous;1.0
Renan Barao;Urijah Faber;UFC Bantamweight Title Bout;KO/TKO;0.5
Chris Cariaso;Danny Martinez;Flyweight Bout;Decision - Unanimous;1.0
Jamie Varner;Abel Trujillo;Lightweight Bout;KO/TKO;0.5
Jose Aldo;Ricardo Lamas;UFC Featherweight Title Bout;Decision - Unanimous;1.0
John Lineker;Ali Bagautinov;Flyweight Bout;Decision - Unanimous;1.0
John Makdessi;Alan Patrick;Lightweight Bout;Decision - Unanimous;1.0
Frank Mir;Alistair Overeem;Heavyweight Bout;Decision - Unanimous;1.0
Nick Catone;Tom Watson;Middleweight Bout;Decision - Split;1.0
Clint Hester;Andy Enz;Middleweight Bout;Decision - Unanimous;1.0
Anthony Rocco Martin;Rashid Magomedov;Lightweight Bout;Decision - Unanimous;1.0
Neil Magny;Gasan Umalatov;Welterweight Bout;Decision - Unanimous;1.0
Chico Camus;Yaotzin Meza;Bantamweight Bout;Overturned;2.0
Eddie Wineland;Yves Jabouin;Bantamweight Bout;KO/TKO;0.5
Stipe Miocic;Gabriel Gonzaga;Heavyweight Bout;Decision - Unanimous;1.0
Donald Cerrone;Adriano Martins;Lightweight Bout;KO/TKO;0.5
Benson Henderson;Josh Thomson;Lightweight Bout;Decision - Split;1.0
Ramiro Hernandez;Hugo Viana;Bantamweight Bout;Decision - Unanimous;1.0
Darren Elkins;Jeremy Stephens;Featherweight Bout;Decision - Unanimous;1.0
Alex Caceres;Sergio Pettis;Bantamweight Bout;Submission;0.5
Daron Cruickshank;Mike Rio;Lightweight Bout;KO/TKO;0.5
George Sullivan;Mike Rhodes;Welterweight Bout;Decision - Unanimous;1.0
Walt Harris;Nikita Krylov;Heavyweight Bout;KO/TKO;0.5
Luke Rockhold;Constantinos Philippou;Middleweight Bout;KO/TKO;0.5
Isaac Vallie-Flagg;Elias Silverio;Lightweight Bout;Decision - Unanimous;1.0
John Moraga;Dustin Ortiz;Flyweight Bout;Decision - Split;1.0
TJ Dillashaw;Mike Easton;Bantamweight Bout;Decision - Unanimous;1.0
Yoel Romero;Derek Brunson;Middleweight Bout;KO/TKO;0.5
Ramsey Nijem;Justin Edwards;Lightweight Bout;Decision - Unanimous;1.0
Cole Miller;Sam Sicilia;Featherweight Bout;Submission;0.5
Lorenz Larkin;Brad Tavares;Middleweight Bout;Decision - Unanimous;1.0
Vinc Pichel;Garett Whiteley;Lightweight Bout;Decision - Unanimous;1.0
Alptekin Ozkilic;Louis Smolka;Flyweight Bout;Decision - Unanimous;1.0
Trevor Smith;Brian Houston;Middleweight Bout;Decision - Split;1.0
Charlie Brenneman;Beneil Dariush;Lightweight Bout;Submission;0.5
Mairbek Taisumov;Tae Hyun Bang;Lightweight Bout;Decision - Unanimous;1.0
Kiichi Kunimoto;Luiz Dutra;Welterweight Bout;DQ;2.0
Katsunori Kikuno;Quinn Mulhern;Lightweight Bout;Decision - Unanimous;1.0
Royston Wee;Dave Galera;Bantamweight Bout;Decision - Unanimous;1.0
Tarec Saffiedine;Hyun Gyu Lim;Welterweight Bout;Decision - Unanimous;1.0
Tatsuya Kawajiri;Sean Soriano;Featherweight Bout;Submission;0.5
Max Holloway;Will Chope;Featherweight Bout;KO/TKO;0.5
Kyung Ho Kang;Shunichi Shimizu;Bantamweight Bout;Submission;0.5
Dustin Kimura;Jon Delos Reyes;Bantamweight Bout;Submission;0.5
Leandro Issa;Russell Doane;Bantamweight Bout;Submission;0.5
Dustin Poirier;Diego Brandao;Featherweight Bout;KO/TKO;0.5
Chris Leben;Uriah Hall;Middleweight Bout;TKO - Doctor's Stoppage;0.5
Josh Barnett;Travis Browne;Heavyweight Bout;KO/TKO;0.5
Gleison Tibau;Michael Johnson;Lightweight Bout;KO/TKO;0.5
Chris Weidman;Anderson Silva;UFC Middleweight Title Bout;KO/TKO;0.5
Ronda Rousey;Miesha Tate;UFC Women's Bantamweight Title Bout;Submission;0.5
Jim Miller;Fabricio Camoes;Lightweight Bout;Submission;0.5
Dennis Siver;Manvel Gamburyan;Featherweight Bout;Overturned;2.0
William Macario;Bobby Voelker;Welterweight Bout;Decision - Unanimous;1.0
Robert Peralta;Estevan Payan;Featherweight Bout;KO/TKO;0.5
John Howard;Siyar Bahadurzada;Welterweight Bout;Decision - Unanimous;1.0
Demetrious Johnson;Joseph Benavidez;UFC Flyweight Title Bout;KO/TKO;0.5
Court McGee;Ryan LaFlare;Welterweight Bout;Decision - Unanimous;1.0
Danny Castillo;Edson Barboza;Lightweight Bout;Decision - Majority;1.0
Bobby Green;Pat Healy;Lightweight Bout;Decision - Unanimous;1.0
Chad Mendes;Nik Lentz;Featherweight Bout;Decision - Unanimous;1.0
Urijah Faber;Michael McDonald;Bantamweight Bout;Submission;0.5
Scott Jorgensen;Zach Makovsky;Flyweight Bout;Decision - Unanimous;1.0
Joe Lauzon;Mac Danzig;Lightweight Bout;Decision - Unanimous;1.0
Abel Trujillo;Roger Bowling;Lightweight Bout;KO/TKO;0.5
Sam Stout;Cody McKenzie;Lightweight Bout;Decision - Unanimous;1.0
Darren Uyenoyama;Alptekin Ozkilic;Flyweight Bout;Decision - Split;1.0
Nick Ring;Caio Magalhaes;Middleweight Bout;Decision - Unanimous;1.0
Pat Barry;Soa Palelei;Heavyweight Bout;KO/TKO;0.5
Takeya Mizugaki;Nam Phan;Bantamweight Bout;Decision - Unanimous;1.0
Dylan Andrews;Clint Hester;Middleweight Bout;TKO - Doctor's Stoppage;0.5
Ryan Bader;Anthony Perosh;Light Heavyweight Bout;Decision - Unanimous;1.0
Mauricio Rua;James Te Huna;Light Heavyweight Bout;KO/TKO;0.5
Julie Kedzie;Bethe Correia;Women's Bantamweight Bout;Decision - Split;1.0
Ben Wall;Alex Garcia;Welterweight Bout;KO/TKO;0.5
Richie Vaculik;Justin Scoggins;Flyweight Bout;KO/TKO;0.5
Bruno Santos;Krzysztof Jotko;Middleweight Bout;Decision - Unanimous;1.0
Akira Corassani;Maximo Blanco;Featherweight Bout;DQ;2.0
Julianna Pena;Jessica Rakoczy;Ultimate Fighter 18 Women's Bantamweight Tournament Title Bout;KO/TKO;0.5
Rani Yahya;Tom Niinimaki;Featherweight Bout;Decision - Split;1.0
Gray Maynard;Nate Diaz;Lightweight Bout;KO/TKO;0.5
Chris Holdsworth;Davey Grant;Ultimate Fighter 18 Bantamweight Tournament Title Bout;Submission;0.5
Jessamyn Duke;Peggy Morgan;Women's Bantamweight Bout;Decision - Unanimous;1.0
Roxanne Modafferi;Raquel Pennington;Women's Bantamweight Bout;Decision - Unanimous;1.0
Sean Spencer;Drew Dober;Welterweight Bout;Decision - Unanimous;1.0
Josh Sampo;Ryan Benoit;Flyweight Bout;Submission;0.5
Jared Rosholt;Walt Harris;Heavyweight Bout;Decision - Unanimous;1.0
Josh Koscheck;Tyron Woodley;Welterweight Bout;KO/TKO;0.5
Georges St-Pierre;Johny Hendricks;UFC Welterweight Title Bout;Decision - Split;1.0
Rashad Evans;Chael Sonnen;Light Heavyweight Bout;KO/TKO;0.5
Tim Elliott;Ali Bagautinov;Flyweight Bout;Decision - Unanimous;1.0
Brian Ebersole;Rick Story;Welterweight Bout;Decision - Unanimous;1.0
Ed Herman;Thales Leites;Middleweight Bout;Decision - Unanimous;1.0
Donald Cerrone;Evan Dunham;Lightweight Bout;Submission;0.5
Jason High;Anthony Lapsley;Welterweight Bout;Decision - Unanimous;1.0
Will Campuzano;Sergio Pettis;Bantamweight Bout;Decision - Unanimous;1.0
Erik Perez;Edwin Figueroa;Bantamweight Bout;Decision - Unanimous;1.0
Cody Donovan;Gian Villante;Light Heavyweight Bout;KO/TKO;0.5
Thiago Perpetuo;Omari Akhmedov;Middleweight Bout;KO/TKO;0.5
Paulo Thiago;Brandon Thatch;Welterweight Bout;KO/TKO;0.5
Cezar Ferreira;Daniel Sarafian;Middleweight Bout;Decision - Split;1.0
Rafael Cavalcante;Igor Pokrajac;Light Heavyweight Bout;KO/TKO;0.5
Rony Jason;Jeremy Stephens;Featherweight Bout;KO/TKO;0.5
Santiago Ponzinibbio;Ryan LaFlare;Welterweight Bout;Decision - Unanimous;1.0
Thiago Tavares;Justin Salas;Lightweight Bout;Submission;0.5
Godofredo Pepey;Sam Sicilia;Featherweight Bout;KO/TKO;0.5
Adriano Martins;Daron Cruickshank;Lightweight Bout;Submission;0.5
Jose Maria;Dustin Ortiz;Flyweight Bout;KO/TKO;0.5
Colton Smith;Michael Chiesa;Lightweight Bout;Submission;0.5
Tim Kennedy;Rafael Natal;Middleweight Bout;KO/TKO;0.5
Dennis Bermudez;Steven Siler;Featherweight Bout;Decision - Unanimous;1.0
Bobby Green;James Krause;Lightweight Bout;KO/TKO;0.5
Jorge Masvidal;Rustam Khabilov;Lightweight Bout;Decision - Unanimous;1.0
Ronny Markes;Yoel Romero;Middleweight Bout;KO/TKO;0.5
George Roop;Francisco Rivera;Bantamweight Bout;KO/TKO;0.5
Derek Brunson;Brian Houston;Middleweight Bout;Submission;0.5
Chris Camozzi;Lorenz Larkin;Middleweight Bout;Decision - Unanimous;1.0
Neil Magny;Seth Baczynski;Welterweight Bout;Decision - Unanimous;1.0
Yves Edwards;Yancy Medeiros;Lightweight Bout;Overturned;2.0
Phil Harris;John Lineker;Flyweight Bout;KO/TKO;0.5
Ross Pearson;Melvin Guillard;Lightweight Bout;Could Not Continue;2.0
Norman Parke;Jon Tuck;Lightweight Bout;Decision - Unanimous;1.0
Lyoto Machida;Mark Munoz;Middleweight Bout;KO/TKO;0.5
Luke Barnatt;Andrew Craig;Middleweight Bout;Submission;0.5
Al Iaquinta;Piotr Hallmann;Lightweight Bout;Decision - Unanimous;1.0
Jimi Manuwa;Ryan Jimmo;Light Heavyweight Bout;KO/TKO;0.5
Alessio Sakara;Nicholas Musoke;Middleweight Bout;Submission;0.5
Jimy Hettes;Robert Whiteford;Featherweight Bout;Submission;0.5
Andy Ogle;Cole Miller;Featherweight Bout;Decision - Unanimous;1.0
Brad Scott;Michael Kuiper;Middleweight Bout;Submission;0.5
Rosi Sexton;Jessica Andrade;Women's Bantamweight Bout;Decision - Unanimous;1.0
Gabriel Gonzaga;Shawn Jordan;Heavyweight Bout;KO/TKO;0.5
John Dodson;Darrell Montague;Flyweight Bout;KO/TKO;0.5
Sarah Kaufman;Jessica Eye;Women's Bantamweight Bout;Overturned;2.0
Gilbert Melendez;Diego Sanchez;Lightweight Bout;Decision - Unanimous;1.0
Nate Marquardt;Hector Lombard;Welterweight Bout;KO/TKO;0.5
Cain Velasquez;Junior Dos Santos;UFC Heavyweight Title Bout;KO/TKO;0.5
Tim Boetsch;CB Dollaway;Middleweight Bout;Decision - Split;1.0
Daniel Cormier;Roy Nelson;Heavyweight Bout;Decision - Unanimous;1.0
TJ Waldburger;Adlan Amagov;Welterweight Bout;KO/TKO;0.5
Tony Ferguson;Mike Rio;Lightweight Bout;Submission;0.5
Jeremy Larsen;Andre Fili;Featherweight Bout;KO/TKO;0.5
Dustin Pague;Kyoji Horiguchi;Bantamweight Bout;KO/TKO;0.5
George Sotiropoulos;KJ Noons;Lightweight Bout;Decision - Unanimous;1.0
Fabio Maldonado;Joey Beltran;Light Heavyweight Bout;Decision - Split;1.0
Ildemar Alcantara;Igor Araujo;Welterweight Bout;Decision - Unanimous;1.0
Rousimar Palhares;Mike Pierce;Welterweight Bout;Submission;0.5
Thiago Silva;Matt Hamill;Light Heavyweight Bout;Decision - Unanimous;1.0
Erick Silva;Dong Hyun Kim;Welterweight Bout;KO/TKO;0.5
Demian Maia;Jake Shields;Welterweight Bout;Decision - Split;1.0
Yan Cabral;David Mitchell;Welterweight Bout;Decision - Unanimous;1.0
Iliarde Santos;Chris Cariaso;Flyweight Bout;KO/TKO;0.5
Alan Patrick;Garett Whiteley;Lightweight Bout;KO/TKO;0.5
Pat Healy;Khabib Nurmagomedov;Lightweight Bout;Decision - Unanimous;1.0
Ivan Menjivar;Wilson Reis;Bantamweight Bout;Decision - Unanimous;1.0
Mike Ricci;Myles Jury;Lightweight Bout;Decision - Split;1.0
Constantinos Philippou;Francis Carmont;Middleweight Bout;Decision - Unanimous;1.0
Chris Clements;Stephen Thompson;Welterweight Bout;KO/TKO;0.5
Brendan Schaub;Matt Mitrione;Heavyweight Bout;Submission;0.5
Renan Barao;Eddie Wineland;UFC Interim Bantamweight Title Bout;KO/TKO;0.5
John Makdessi;Renee Forte;Lightweight Bout;KO/TKO;0.5
Mitch Gagnon;Dustin Kimura;Bantamweight Bout;Submission;0.5
Nandor Guelmino;Daniel Omielanczuk;Heavyweight Bout;KO/TKO;0.5
Michel Prazeres;Jesse Ronson;Lightweight Bout;Decision - Split;1.0
Roland Delorme;Alex Caceres;Bantamweight Bout;Decision - Split;1.0
Francisco Trinaldo;Piotr Hallmann;Lightweight Bout;Submission;0.5
Rafael Natal;Tor Troeng;Middleweight Bout;Decision - Unanimous;1.0
Glover Teixeira;Ryan Bader;Light Heavyweight Bout;KO/TKO;0.5
Marcos Vinicius;Ali Bagautinov;Flyweight Bout;KO/TKO;0.5
Yushin Okami;Jacare Souza;Middleweight Bout;KO/TKO;0.5
Lucas Martins;Ramiro Hernandez;Bantamweight Bout;Submission;0.5
Felipe Arantes;Edimilson Souza;Featherweight Bout;Decision - Split;1.0
Joao Zeferino;Elias Silverio;Welterweight Bout;Decision - Unanimous;1.0
Keith Wisniewski;Ivan Jorge;Welterweight Bout;Decision - Unanimous;1.0
Yuri Villefort;Sean Spencer;Welterweight Bout;Decision - Split;1.0
Jamie Varner;Gleison Tibau;Lightweight Bout;Decision - Split;1.0
Louis Gaudinot;Tim Elliott;Flyweight Bout;Decision - Unanimous;1.0
Pascal Krauss;Hyun Gyu Lim;Welterweight Bout;KO/TKO;0.5
Erik Koch;Dustin Poirier;Featherweight Bout;Decision - Unanimous;1.0
Frank Mir;Josh Barnett;Heavyweight Bout;KO/TKO;0.5
Ben Rothwell;Brandon Vera;Heavyweight Bout;KO/TKO;0.5
Chad Mendes;Clay Guida;Featherweight Bout;KO/TKO;0.5
Benson Henderson;Anthony Pettis;UFC Lightweight Title Bout;Submission;0.5
Soa Palelei;Nikita Krylov;Heavyweight Bout;KO/TKO;0.5
Ryan Couture;Al Iaquinta;Lightweight Bout;Decision - Unanimous;1.0
Jared Hamman;Magnus Cedenblad;Middleweight Bout;Submission;0.5
Chico Camus;Kyung Ho Kang;Bantamweight Bout;Decision - Unanimous;1.0
Justin Edwards;Brandon Thatch;Welterweight Bout;KO/TKO;0.5
Court McGee;Robert Whittaker;Welterweight Bout;Decision - Split;1.0
Takeya Mizugaki;Erik Perez;Bantamweight Bout;Decision - Split;1.0
Dylan Andrews;Papy Abedi;Middleweight Bout;KO/TKO;0.5
Kelvin Gastelum;Brian Melancon;Welterweight Bout;Submission;0.5
Carlos Condit;Martin Kampmann;Welterweight Bout;KO/TKO;0.5
Brad Tavares;Robert McDaniel;Middleweight Bout;Decision - Unanimous;1.0
James Head;Jason High;Welterweight Bout;Submission;0.5
Darren Elkins;Hatsu Hioki;Featherweight Bout;Decision - Unanimous;1.0
Zak Cummings;Ben Alloway;Welterweight Bout;Submission;0.5
Alistair Overeem;Travis Browne;Heavyweight Bout;KO/TKO;0.5
Urijah Faber;Iuri Alcantara;Bantamweight Bout;Decision - Unanimous;1.0
Brad Pickett;Michael McDonald;Bantamweight Bout;Submission;0.5
Mauricio Rua;Chael Sonnen;Light Heavyweight Bout;Submission;0.5
Conor McGregor;Max Holloway;Featherweight Bout;Decision - Unanimous;1.0
Matt Brown;Mike Pyle;Welterweight Bout;KO/TKO;0.5
Uriah Hall;John Howard;Middleweight Bout;Decision - Split;1.0
Joe Lauzon;Michael Johnson;Lightweight Bout;Decision - Unanimous;1.0
Manvel Gamburyan;Cole Miller;Featherweight Bout;Decision - Unanimous;1.0
Cody Donovan;Ovince Saint Preux;Light Heavyweight Bout;KO/TKO;0.5
Diego Brandao;Daniel Pineda;Featherweight Bout;Decision - Unanimous;1.0
Ramsey Nijem;James Vick;Lightweight Bout;Submission;0.5
Mike Brown;Steven Siler;Featherweight Bout;KO/TKO;0.5
John Lineker;Jose Maria;Flyweight Bout;KO/TKO;0.5
Cezar Ferreira;Thiago Santos;Middleweight Bout;Submission;0.5
Vinny Magalhaes;Anthony Perosh;Light Heavyweight Bout;KO/TKO;0.5
Jose Aldo;Chan Sung Jung;UFC Featherweight Title Bout;KO/TKO;0.5
Thales Leites;Tom Watson;Middleweight Bout;Decision - Unanimous;1.0
Lyoto Machida;Phil Davis;Light Heavyweight Bout;Decision - Unanimous;1.0
Amanda Nunes;Sheila Gaff;Women's Bantamweight Bout;KO/TKO;0.5
Sergio Moraes;Neil Magny;Welterweight Bout;Submission;0.5
Ian McCall;Iliarde Santos;Flyweight Bout;Decision - Unanimous;1.0
Ednaldo Oliveira;Francimar Barroso;Light Heavyweight Bout;Decision - Unanimous;1.0
Viscardi Andrade;Bristol Marunde;Welterweight Bout;KO/TKO;0.5
Rani Yahya;Josh Clopton;Featherweight Bout;Decision - Unanimous;1.0
Yves Edwards;Daron Cruickshank;Lightweight Bout;Decision - Split;1.0
Demetrious Johnson;John Moraga;UFC Flyweight Title Bout;Submission;0.5
Robbie Lawler;Bobby Voelker;Welterweight Bout;KO/TKO;0.5
Michael Chiesa;Jorge Masvidal;Lightweight Bout;Submission;0.5
Liz Carmouche;Jessica Andrade;Women's Bantamweight Bout;KO/TKO;0.5
Danny Castillo;Tim Means;Lightweight Bout;Decision - Unanimous;1.0
Rory MacDonald;Jake Ellenberger;Welterweight Bout;Decision - Unanimous;1.0
Mac Danzig;Melvin Guillard;Lightweight Bout;KO/TKO;0.5
Julie Kedzie;Germaine de Randamie;Women's Bantamweight Bout;Decision - Split;1.0
Ed Herman;Trevor Smith;Middleweight Bout;Decision - Split;1.0
John Albert;Yaotzin Meza;Bantamweight Bout;Submission;0.5
Aaron Riley;Justin Salas;Lightweight Bout;Decision - Split;1.0
Mark Munoz;Tim Boetsch;Middleweight Bout;Decision - Unanimous;1.0
Cub Swanson;Dennis Siver;Featherweight Bout;KO/TKO;0.5
Chris Leben;Andrew Craig;Middleweight Bout;Decision - Split;1.0
Norman Parke;Kazuki Tokudome;Lightweight Bout;Decision - Unanimous;1.0
Frankie Edgar;Charles Oliveira;Featherweight Bout;Decision - Unanimous;1.0
Gabriel Gonzaga;Dave Herman;Heavyweight Bout;KO/TKO;0.5
Tim Kennedy;Roger Gracie;Middleweight Bout;Decision - Unanimous;1.0
Seth Baczynski;Brian Melancon;Welterweight Bout;KO/TKO;0.5
Mike Pierce;David Mitchell;Welterweight Bout;KO/TKO;0.5
Edson Barboza;Rafaello Oliveira;Lightweight Bout;KO/TKO;0.5
Ryan Jimmo;Igor Pokrajac;Light Heavyweight Bout;Decision - Unanimous;1.0
Pat Barry;Shawn Jordan;Heavyweight Bout;KO/TKO;0.5
Roy Nelson;Stipe Miocic;Heavyweight Bout;Decision - Unanimous;1.0
Sam Stout;James Krause;Lightweight Bout;Submission;0.5
Rashad Evans;Dan Henderson;Light Heavyweight Bout;Decision - Split;1.0
Alexis Davis;Rosi Sexton;Women's Bantamweight Bout;Decision - Unanimous;1.0
Sean Pierson;Kenny Robertson;Welterweight Bout;Decision - Majority;1.0
Jake Shields;Tyron Woodley;Welterweight Bout;Decision - Split;1.0
Roland Delorme;Edwin Figueroa;Bantamweight Bout;Decision - Unanimous;1.0
Yves Jabouin;Dustin Pague;Bantamweight Bout;Decision - Split;1.0
Mitch Clarke;John Maguire;Lightweight Bout;Decision - Unanimous;1.0
Thiago Silva;Rafael Cavalcante;Light Heavyweight Bout;KO/TKO;0.5
William Macario;Leonardo Santos;Ultimate Fighter Brazil 2 Welterweight Tournament Title Bout;Submission;0.5
Erick Silva;Jason High;Welterweight Bout;Submission;0.5
Daniel Sarafian;Eddie Mendez;Middleweight Bout;Submission;0.5
Rony Jason;Mike Wilkinson;Featherweight Bout;Submission;0.5
Raphael Assuncao;Vaughan Lee;Bantamweight Bout;Submission;0.5
Godofredo Pepey;Felipe Arantes;Featherweight Bout;KO/TKO;0.5
Antonio Rodrigo Nogueira;Fabricio Werdum;Heavyweight Bout;Submission;0.5
Ildemar Alcantara;Leandro Silva;Welterweight Bout;Decision - Unanimous;1.0
Antonio Braga Neto;Anthony Smith;Middleweight Bout;Submission;0.5
Rodrigo Damm;Mizuto Hirota;Featherweight Bout;Decision - Split;1.0
Caio Magalhaes;Karlos Vemola;Middleweight Bout;Submission;0.5
Cain Velasquez;Antonio Silva;UFC Heavyweight Title Bout;KO/TKO;0.5
Junior Dos Santos;Mark Hunt;Heavyweight Bout;KO/TKO;0.5
Glover Teixeira;James Te Huna;Light Heavyweight Bout;Submission;0.5
Donald Cerrone;KJ Noons;Lightweight Bout;Decision - Unanimous;1.0
Gray Maynard;TJ Grant;Lightweight Bout;KO/TKO;0.5
Colton Smith;Robert Whittaker;Welterweight Bout;KO/TKO;0.5
Mike Pyle;Rick Story;Welterweight Bout;Decision - Split;1.0
Dennis Bermudez;Max Holloway;Featherweight Bout;Decision - Split;1.0
Khabib Nurmagomedov;Abel Trujillo;Lightweight Bout;Decision - Unanimous;1.0
Jeremy Stephens;Estevan Payan;Featherweight Bout;Decision - Unanimous;1.0
Brian Bowles;George Roop;Bantamweight Bout;KO/TKO;0.5
Stephen Thompson;Nah-Shon Burrell;Welterweight Bout;Decision - Unanimous;1.0
Paulo Thiago;Michel Prazeres;Welterweight Bout;Decision - Unanimous;1.0
Rafael Dos Anjos;Evan Dunham;Lightweight Bout;Decision - Unanimous;1.0
Vitor Belfort;Luke Rockhold;Middleweight Bout;KO/TKO;0.5
Rafael Natal;Joao Zeferino;Middleweight Bout;Decision - Unanimous;1.0
Gleison Tibau;John Cholish;Lightweight Bout;Submission;0.5
Hacran Dias;Nik Lentz;Featherweight Bout;Decision - Unanimous;1.0
Francisco Trinaldo;Mike Rio;Lightweight Bout;Submission;0.5
Iuri Alcantara;Iliarde Santos;Bantamweight Bout;KO/TKO;0.5
Jussier Formiga;Chris Cariaso;Flyweight Bout;Decision - Unanimous;1.0
Lucas Martins;Jeremy Larsen;Lightweight Bout;KO/TKO;0.5
John Lineker;Azamat Gashimov;Flyweight Bout;KO/TKO;0.5
Fabio Maldonado;Roger Hollett;Light Heavyweight Bout;Decision - Unanimous;1.0
Rustam Khabilov;Yancy Medeiros;Lightweight Bout;TKO - Doctor's Stoppage;0.5
Jon Jones;Chael Sonnen;UFC Light Heavyweight Title Bout;KO/TKO;0.5
Phil Davis;Vinny Magalhaes;Light Heavyweight Bout;Decision - Unanimous;1.0
Gian Villante;Ovince Saint Preux;Light Heavyweight Bout;Decision - Majority;1.0
Sara McMann;Sheila Gaff;Women's Bantamweight Bout;KO/TKO;0.5
Roy Nelson;Cheick Kongo;Heavyweight Bout;KO/TKO;0.5
Michael Bisping;Alan Belcher;Middleweight Bout;Decision - Unanimous;1.0
Jim Miller;Pat Healy;Lightweight Bout;Overturned;2.0
Steven Siler;Kurt Holobaugh;Featherweight Bout;Decision - Unanimous;1.0
Bryan Caraway;Johnny Bedford;Bantamweight Bout;Submission;0.5
Leonard Garcia;Cody McKenzie;Featherweight Bout;Decision - Unanimous;1.0
Chad Mendes;Darren Elkins;Featherweight Bout;KO/TKO;0.5
Benson Henderson;Gilbert Melendez;UFC Lightweight Title Bout;Decision - Split;1.0
Francis Carmont;Lorenz Larkin;Middleweight Bout;Decision - Unanimous;1.0
Ramsey Nijem;Myles Jury;Lightweight Bout;KO/TKO;0.5
Nate Diaz;Josh Thomson;Lightweight Bout;KO/TKO;0.5
Frank Mir;Daniel Cormier;Heavyweight Bout;Decision - Unanimous;1.0
Joseph Benavidez;Darren Uyenoyama;Flyweight Bout;KO/TKO;0.5
